seqname,tax_id
KM210551,s__Methylacidimicrobium_cyclopophantes
KM210550,s__Methylacidimicrobium_cyclopophantes
KF484908,s__Methyloprofundus_sedimenti
KM210552,s__Methylacidimicrobium_tartarophylax
FUKI01000093,s__Crenothrix_polyspora
DQ364434,s__Methylocystis_hirsuta
HE801217,s__Methylomonas_paludis
KT180167,s__Methylocucumis_oryzae
SYW90631,s__Methylomirabilis_lanthanidiphila
EU223862,s__Methylacidiphilum_infernorum
FJ462790,s__Methylacidiphilum_kamchatkense
FJ462791,s__Methylacidiphilum_kamchatkense
AJ459000,s__Methylocystis_echinoides
HF954359,s__Methylomonas_lenta
AB501285,s__Methylovulum_miyakonense
AM283546,s__Methylocystis_heyeri
JN386975,s__Methyloglobulus_morosus
AF177326,s__Methylosarcina_quisquiliarum
AY945762,s__Methylobacter_psychrophilus
AY829010,s__Methylothermus_thermalis
FP565575,s__Methylomirabilis_oxyfera
KU216207,s__Methylospira_mobilis
FN422005,s__Methylocystis_bryophila
EU722430,s__Methylobacter_marinus
AB302947,s__Methylomarinum_vadi
JQNS01000005,s__Methylobacter_whittenburyi
U31654,s__Methylomicrobium_album
AB900159,s__Methylocaldum_marinum
L40804,s__Methylococcus_capsulatus
AB302948,s__Methylomarinovum_caldicuralii
U31650,s__Methylosinus_trichosporium
U31652,s__Methylotuvimicrobium_pelagicum
U31653,s__Methylomonas_methanica
AJ581836,s__Methylohalobius_crimeensis
DQ119047,s__Methylosoma_difficile
JN687579,s__Methylomicrobium_kenyense
AB538965,s__Methylomonas_koyamae
U89301,s__Methylocaldum_gracile
AB669168,s__Methylomagnum_ishizawai
U89303,s__Methylocaldum_szegediense
KM210549,s__Methylacidimicrobium_fagopyrum
AF177325,s__Methylosarcina_fibrata
U89304,s__Methylocaldum_tepidum
DQ984192,s__Clonothrix_fusca
AB253367,s__Methylotuvimicrobium_japanense
EU223855,s__Methylacidiphilum_infernorum
HF954363,s__Methyloparacoccus_murrellii
AY007286,s__Methylomicrobium_lacus
FJ462789,s__Methylacidiphilum_kamchatkense
FJ462788,s__Methylacidiphilum_kamchatkense
EU223859,s__Methylacidiphilum_infernorum
EF591086,s__Methylacidiphilum_fumariolicum
EF591087,s__Methylacidiphilum_fumariolicum
FN433470,s__Methylocapsa_aurea
AB536748,s__Methylothermus_subterraneus
FO082060,s__Methylotuvimicrobium_alcaliphilum
AJ278727,s__Methylocapsa_acidiphila
AF307139,s__Methylotuvimicrobium_buryatense
SYW90018,s__Methylomirabilis_lanthanidiphila
NZJPOJ01000001,s__Methylomicrobium_agile
AJ414658,s__Methylobacter_tundripaludum
KP715290,s__Methylocapsa_palsarum
KT381579,s__Methylovulum_psychrotolerans
EU359002,s__Methylogaea_oryzae
AJ414657,s__Methylocystis_rosea
FJ713040,s__Methylosinus_sporium
AF533665,s__Methylocystis_parvus
